// 汉语教程/初级第二册/第一课
喂[喂]	wei4
阿姨[阿姨]	a1yi2
中学[中學]	zhong1xue2
出国[出國]	chu1//guo2
打[打]	da3
打电话[打電話]	da3 dian4hua4
关机[關機]	guan1//ji1
关[關]	guan1
饿[餓]	e4
对了[對了]	dui4le5
忘[忘]	wang4
开机[開機]	kai1//ji1
开[開]	kai1
又[又]	you4
响[響]	xiang3
接[接]	jie1
踢[踢]	ti1
比赛[比賽]	bi3sai4
队[隊]	dui4
输[輸]	shu1
赢[贏]	ying2
比[比]	bi3
祝贺[祝賀]	zhu4he4
哎[哎]	ai1
上[上]	shang4
托福[託福]	Tuo1fu2
已经[已經]	yi3jing1
考[考]	kao3
陪[陪]	pei2
岀[岀]	chu1
// 汉语教程/初级第二册/第二课
病人[病人]	bing4ren2
肚子[肚子]	du4zi5
厉害[厲害]	li4hai5
了[了]	le5
片[片]	pian4
拉肚子[拉肚子]	la1//du4zi5
鱼[魚]	yu2
牛肉[牛肉]	niu2rou4
化验[化驗]	hua4yan4
大便[大便]	da4bian4
小便[小便]	xiao3bian4
检查[檢查]	jian3cha2
结果[結果]	jie1//guo3
出来[出來]	chu1//lai5
得[得]	de5
肠炎[腸炎]	chang2yan2
消化[消化]	xiao1hua4
开药[開藥]	kai1yao4
打针[打針]	da3//zhen1
针[針]	zhen1
后[后]	hou4
哭[哭]	ku1
寂寞[寂寞]	ji4mo4
所以[所以]	suo3yi3
难过[難過]	nan2guo4
别[別]	bie2
礼堂[禮堂]	li3tang2
舞会[舞會]	wu3hui4
舞[舞]	wu3
跳[跳]	tiao4
跳舞[跳舞]	tiao4//wu3
药[藥]	yao4
// 汉语教程/初级第二册/第三课
套[套]	tao4
房子[房子]	fang2zi5
满意[滿意]	man3yi4
有的[有的]	you3de5
周围[週圍]	zhou1wei2
环境[環境]	huan2jing4
乱[亂]	luan4
厨房[廚房]	chu2fang2
卧室[臥室]	wo4shi4
客厅[客廳]	ke4ting1
面积[面積]	mian4ji1
层[層]	ceng2
平米[平米]	ping2mi3
平方米[平方米]	ping2fang1mi3
上去[上去]	shang4//qu5
阳光[陽光]	yang2guang1
还是[還是]	hai2shi5
妻子[妻子]	qi1zi5
堵车[堵車]	du3//che1
赶[趕]	gan3
才[才]	cai2
要是[要是]	yao4shi5
租[租]	zu1
房租[房租]	fang2zu1
虽然[雖然]	sui1ran2
真[真]	zhen1
条[條]	tiao2
河[河]	he2
交通[交通]	jiao1tong1
方便[方便]	fang1bian4
